folder,run_number,elapsed_seconds,num_turns,starting_prompt_tokens,final_prompt_tokens,cumulative_tokens,first_timestamp,last_timestamp
gpt-4.1-concise,1,22.135531,6,442,6754,29969,2025-05-20T21:11:33.069118,2025-05-20T21:11:55.204649
gpt-4.1-concise,2,24.248997,6,442,6564,29475,2025-05-20T21:12:16.316611,2025-05-20T21:12:40.565608
gpt-4.1-concise,3,19.567859,6,442,6780,30054,2025-05-20T21:13:02.990870,2025-05-20T21:13:22.558729
gpt-4.1-concise,4,22.936807,6,442,6746,29980,2025-05-20T21:13:43.681202,2025-05-20T21:14:06.618009
gpt-4.1-concise,5,18.174391,6,442,5363,25211,2025-05-20T21:14:28.558564,2025-05-20T21:14:46.732955
gpt-4.1-concise,6,27.612372,6,442,5434,25502,2025-05-20T21:15:08.682339,2025-05-20T21:15:36.294711
gpt-4.1-concise,7,37.177522,6,442,6953,30776,2025-05-20T21:15:58.573029,2025-05-20T21:16:35.750551
gpt-4.1-concise,8,34.800264,6,442,6761,29995,2025-05-20T21:16:57.392383,2025-05-20T21:17:32.192647
gpt-4.1-concise,9,17.158123,6,442,5454,25622,2025-05-20T21:17:53.254010,2025-05-20T21:18:10.412133
gpt-4.1-concise,10,15.020276,6,442,5448,25595,2025-05-20T21:18:32.357193,2025-05-20T21:18:47.377469
gpt-4.1-concise,11,27.169629,6,442,6775,30058,2025-05-20T21:18:53.479860,2025-05-20T21:19:20.649489
gpt-4.1-concise,12,19.362964,6,442,5122,25018,2025-05-20T21:19:26.955970,2025-05-20T21:19:46.318934
gpt-4.1-concise,13,18.543218,6,442,5442,25585,2025-05-20T21:19:56.258057,2025-05-20T21:20:14.801275
gpt-4.1-concise,14,15.683884,6,442,5424,25471,2025-05-20T21:20:21.026484,2025-05-20T21:20:36.710368
gpt-4.1-concise,15,16.942062,6,442,6516,29208,2025-05-20T21:20:43.274623,2025-05-20T21:21:00.216685
gpt-4.1-concise,16,18.722242,6,442,5449,25583,2025-05-20T21:21:07.132242,2025-05-20T21:21:25.854484
gpt-4.1-concise,17,30.655217,6,442,6825,30343,2025-05-20T21:21:32.038930,2025-05-20T21:22:02.694147
gpt-4.1-concise,18,15.427153,6,442,5460,25637,2025-05-20T21:22:10.689569,2025-05-20T21:22:26.116722
gpt-4.1-concise,19,19.140526,6,442,5366,25132,2025-05-20T21:22:32.677767,2025-05-20T21:22:51.818293
gpt-4.1-concise,20,29.336364,6,442,6702,29698,2025-05-20T21:22:57.838091,2025-05-20T21:23:27.174455
gpt-4.1-interfere,1,23.46503,6,4691,9810,51548,2025-05-20T20:56:39.182126,2025-05-20T20:57:02.647156
gpt-4.1-interfere,2,25.814279,6,4691,9828,51580,2025-05-20T20:57:25.186414,2025-05-20T20:57:51.000693
gpt-4.1-interfere,3,48.722515,6,4691,11107,55896,2025-05-20T20:58:15.868084,2025-05-20T20:59:04.590599
gpt-4.1-interfere,4,22.978351,6,4691,9608,50681,2025-05-20T20:59:27.466379,2025-05-20T20:59:50.444730
gpt-4.1-interfere,5,49.772836,6,4691,11340,55988,2025-05-20T21:00:13.334772,2025-05-20T21:01:03.107608
gpt-4.1-interfere,6,24.688341,6,4691,9707,51141,2025-05-20T21:01:24.644650,2025-05-20T21:01:49.332991
gpt-4.1-interfere,7,29.695093,6,4691,11132,56377,2025-05-20T21:02:11.872158,2025-05-20T21:02:41.567251
gpt-4.1-interfere,8,45.238778,6,4691,11148,56075,2025-05-20T21:03:03.397819,2025-05-20T21:03:48.636597
gpt-4.1-interfere,9,20.736753,6,4691,9645,50839,2025-05-20T21:04:12.295715,2025-05-20T21:04:33.032468
gpt-4.1-interfere,10,23.277393,6,4691,9711,51082,2025-05-20T21:04:55.132504,2025-05-20T21:05:18.409897
gpt-4.1-interfere,11,25.979224,6,4691,9655,50953,2025-05-20T21:05:25.864288,2025-05-20T21:05:51.843512
gpt-4.1-interfere,12,18.488279,6,4691,9634,50775,2025-05-20T21:05:58.810961,2025-05-20T21:06:17.299240
