folder,run_number,elapsed_seconds,num_turns,starting_prompt_tokens,final_prompt_tokens,cumulative_tokens,first_timestamp,last_timestamp
sonnet37-concise/,1,87.030311,11,1088,12290,94877,2025-05-20T21:30:13.948932,2025-05-20T21:31:40.979243
sonnet37-concise/,2,85.654465,12,1088,13171,113958,2025-05-20T21:32:05.887426,2025-05-20T21:33:31.541891
sonnet37-concise/,3,112.968454,12,1088,14087,115100,2025-05-20T21:33:55.265171,2025-05-20T21:35:48.233625
sonnet37-concise/,4,73.297425,11,1088,13046,101980,2025-05-20T21:36:11.154500,2025-05-20T21:37:24.451925
sonnet37-concise/,5,117.732467,15,1088,16451,166907,2025-05-20T21:37:50.222102,2025-05-20T21:39:47.954569
sonnet37-concise/,6,81.790075,12,1088,12286,109374,2025-05-20T21:40:11.688116,2025-05-20T21:41:33.478191
sonnet37-concise/,7,110.034881,16,1088,14222,162056,2025-05-20T21:41:57.182251,2025-05-20T21:43:47.217132
sonnet37-concise/,8,76.362251,10,1088,11833,86250,2025-05-20T21:44:12.999403,2025-05-20T21:45:29.361654
sonnet37-concise/,9,103.828522,15,1088,15065,157827,2025-05-20T21:45:53.875861,2025-05-20T21:47:37.704383
sonnet37-concise/,10,86.704432,14,1088,14374,142870,2025-05-20T21:48:03.888311,2025-05-20T21:49:30.592743
sonnet37-concise/,11,89.219633,12,1088,13272,114808,2025-05-20T21:52:35.199191,2025-05-20T21:54:04.418824
sonnet37-concise/,12,81.026027,13,1088,13112,121964,2025-05-20T21:54:13.005554,2025-05-20T21:55:34.031581
sonnet37-concise/,13,76.410266,10,1088,13743,92541,2025-05-20T21:55:42.255652,2025-05-20T21:56:58.665918
sonnet37-concise/,14,89.834043,12,1088,13078,112299,2025-05-20T21:57:07.791587,2025-05-20T21:58:37.625630
sonnet37-concise/,15,124.675232,18,1088,16133,206245,2025-05-20T21:58:46.164087,2025-05-20T22:00:50.839319
sonnet37-concise/,16,94.88179,13,1088,13829,127419,2025-05-20T22:00:59.564714,2025-05-20T22:02:34.446504
sonnet37-concise/,17,103.346023,14,1088,14515,147683,2025-05-20T22:02:43.585103,2025-05-20T22:04:26.931126
sonnet37-concise/,18,91.014083,12,1088,13659,115142,2025-05-20T22:04:36.464674,2025-05-20T22:06:07.478757
sonnet37-concise/,19,105.825781,16,1088,13596,159653,2025-05-20T22:06:15.846748,2025-05-20T22:08:01.672529
sonnet37-concise/,20,96.80717,12,1088,12078,111065,2025-05-20T22:08:10.320468,2025-05-20T22:09:47.127638
sonnet37-interfere/,1,101.371491,11,9439,21420,193762,2025-05-20T22:37:47.422195,2025-05-20T22:39:28.793686
sonnet37-interfere/,2,190.46489,15,9439,21793,267012,2025-05-20T22:39:55.401005,2025-05-20T22:43:05.865895
sonnet37-interfere/,3,108.937301,10,9439,20476,166977,2025-05-20T22:43:43.699008,2025-05-20T22:45:32.636309
sonnet37-interfere/,4,126.487734,12,9439,21382,210372,2025-05-20T22:46:02.350307,2025-05-20T22:48:08.838041
sonnet37-interfere/,5,164.734941,14,9439,24120,268680,2025-05-20T22:48:43.892019,2025-05-20T22:51:28.626960
sonnet37-interfere/,6,137.435888,12,9439,20538,204528,2025-05-20T22:51:59.777102,2025-05-20T22:54:17.212990
sonnet37-interfere/,7,169.579797,14,9439,20710,241500,2025-05-20T22:54:47.446874,2025-05-20T22:57:37.026671
sonnet37-interfere/,8,157.512383,11,9439,21184,190878,2025-05-20T22:58:03.111426,2025-05-20T23:00:40.623809
sonnet37-interfere/,9,161.139792,11,9439,19067,179771,2025-05-20T23:01:12.659085,2025-05-20T23:03:53.798877
sonnet37-interfere/,10,124.797084,11,9439,20664,187924,2025-05-20T23:04:20.779774,2025-05-20T23:06:25.576858
sonnet37-interfere/,11,99.063287,11,9439,20930,189340,2025-05-20T22:10:37.990288,2025-05-20T22:12:17.053575
sonnet37-interfere/,12,124.30606,15,9439,21574,267062,2025-05-20T22:12:27.397435,2025-05-20T22:14:31.703495
sonnet37-interfere/,13,99.70353,12,9439,20824,206857,2025-05-20T22:14:42.189738,2025-05-20T22:16:21.893268
sonnet37-interfere/,14,134.746478,13,9439,21517,231576,2025-05-20T22:16:30.747818,2025-05-20T22:18:45.494296
sonnet37-interfere/,15,107.082561,11,9439,19816,186196,2025-05-20T22:18:54.769123,2025-05-20T22:20:41.851684
sonnet37-interfere/,16,189.860941,17,9439,23574,330734,2025-05-20T22:20:55.695181,2025-05-20T22:24:05.556122
sonnet37-interfere/,17,96.671515,9,9439,20526,150004,2025-05-20T22:24:22.705297,2025-05-20T22:25:59.376812
sonnet37-interfere/,18,170.780185,14,9439,21502,246242,2025-05-20T22:26:13.418021,2025-05-20T22:29:04.198206
sonnet37-interfere/,19,182.493361,17,9439,22288,321102,2025-05-20T22:29:20.024456,2025-05-20T22:32:22.517817
sonnet37-interfere/,20,132.696333,11,9439,19066,180512,2025-05-20T22:32:35.924459,2025-05-20T22:34:48.620792
